459763192110280704,291320936,Gabriel Guerrero,313,254,Quito,Fri Apr 25 18:37:41 +0000 2014,"RT @NBADatos_: A las 20:45h en @RadioPenalti, el quinto partido entre Real Madrid-Olympiakos por un puesto en la Final Four.

http://t.co/L…"
459763192231522304,2315277750,World Magazine,2,2,,Fri Apr 25 18:37:41 +0000 2014,"Mantan Pelatih Barcelona, Tito Vilanova Meninggal Dunia: Tito Vilanova menghembuskan nafas terakhir di usia 45 tahun. http://t.co/Yrb8GqwrbZ"
459763192361914368,365300311,♥♥Lula Merchan♥♥,496,591,Quito,Fri Apr 25 18:37:41 +0000 2014,RT @FCBarcelona_es: Luto inmenso en la familia del FC Barcelona: nos ha dejado Tito Vilanova a la edad de 45 años. Descanse en paz
459763192508710912,442830990,Jaime Romo,381,1315,Amsterdam,Fri Apr 25 18:37:41 +0000 2014,¡Real Madrid - Olympiacos! ¡Vamos!
459763192424828928,444168067,John Nolan,273,1173,London,Fri Apr 25 18:37:41 +0000 2014,Former Barcelona coach Tito Vilanova has died at the age of 45. Vilanova had a tumour removed from his throat in November 2011 (1/2)
459763192877813760,2236226937,chusa,46,101,,Fri Apr 25 18:37:41 +0000 2014,RT @La_SER: FOTOGALERÍA | Los mejores momentos de Tito Vilanova en el F.C. Barcelona http://t.co/gmlYaoII6x #hastasiempretito http://t.co/u…
459763193460822016,573034282,Toni Quintana,140,565,,Fri Apr 25 18:37:41 +0000 2014,"Florentino Pérez envió su mensaje a Tito en nombre del Real Madrid 
http://t.co/U6o4geZxYr"
459763193704091648,2499236518,Tiko anthony,21,103,,Fri Apr 25 18:37:42 +0000 2014,"RT @FCBarcelona: Tito Vilanova, a life dedicated to FC Barcelona http://t.co/XIk87Elv4D"
459763193431482368,19343904,Diario SPORT,544758,227216,Madrid,Fri Apr 25 18:37:42 +0000 2014,"Florentino Pérez envió su mensaje a Tito en nombre del Real Madrid 
http://t.co/8lrSgAIr07"
459763193913835521,130386064,_Javy_,975,1619,Buenos Aires,Fri Apr 25 18:37:42 +0000 2014,"RT @FCBarcelona: Tito Vilanova, a life dedicated to FC Barcelona http://t.co/9UjfYoWGoH #TitoEtern http://t.co/iNl3iry7I5"
459763194282921984,293778170,Buffalo Soldier ☮,727,653,Quito,Fri Apr 25 18:37:42 +0000 2014,RT @FCBarcelona_es: Luto inmenso en la familia del FC Barcelona: nos ha dejado Tito Vilanova a la edad de 45 años. Descanse en paz
459763194266157057,2361265119,Sam ,48,71,,Fri Apr 25 18:37:42 +0000 2014,@CamHall13 this about the Barcelona manager
459763194509422592,473384687,Fran Quiñónez,432,401,Kabul,Fri Apr 25 18:37:42 +0000 2014,"RT @ChelseaFansCol: Mourinho: ""Hoy es un día triste para el futbol, para Barcelona y, lo más importante, para su familia y sus amigos"". #RI…"
459763194727505920,428223723,Øystein Wahl,72,57,,Fri Apr 25 18:37:42 +0000 2014,RT @FCBarcelona: The FC Barcelona is in immense mourning. Tito Vilanova has died at the age of 45. May he rest in peace
459763193846726656,138889508,Milagro Torres™∞.,431,283,Santiago,Fri Apr 25 18:37:42 +0000 2014,"RT @SaalasM: Florentino Pérez: “En nombre del Real Madrid, nuestras condolencias, apoyo y cariño a su familia, al F. C. Barcelona"""
459763195020734464,130146267,Yoshua Eduardo H.,280,278,Pacific Time (US & Canada),Fri Apr 25 18:37:42 +0000 2014,"RT @barcastuff: With Vilanova as first team coach, Barcelona won the Liga in the 2012-2013 season, with a league record of 100 points #rip"
459763194332844032,341906063,Alejandro Diaz,109,155,,Fri Apr 25 18:37:42 +0000 2014,RT @Juezcentral: 14 títulos en 19 competiciones consiguió el Barcelona con la dupla Guardiola-Vilanova #QEPDTITO http://t.co/ogfS1yQy1b
459763195172126720,2460036296,Robben,4,9,Athens,Fri Apr 25 18:37:42 +0000 2014,RT @GrandeVilanova: Se nos va un grande #todoscontito #barcelona #titobarcelona http://t.co/UgjLCEazbh
459763195033292800,924754267,Eduardo Cabrera #-10,98,119,Hawaii,Fri Apr 25 18:37:42 +0000 2014,RT @futbol_transfer: La emocionante carta de Tito Vilanova al despedirse de Barcelona: http://t.co/IgCHMP8LOS
459763195864178688,1684169227,AvantSoccer La Liga,178,4,,Fri Apr 25 18:37:42 +0000 2014,"RT @LaDecimaLisbon: RIP Tito, you were a strong guy #Barcelona #Laliga"
459763196090281985,538254135,rahman,1,36,,Fri Apr 25 18:37:42 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763196492918784,2174933527,Bea Gocher,56,248,Central Time (US & Canada),Fri Apr 25 18:37:42 +0000 2014,"RT @FCBarcelona: Tito Vilanova, a life dedicated to FC Barcelona http://t.co/9UjfYoWGoH #TitoEtern http://t.co/iNl3iry7I5"
459763196090277889,401383381,Najil khan,137,107,New Delhi,Fri Apr 25 18:37:42 +0000 2014,"RT @FCBarcelona: This Monday at eight o'clock in the evening, the funeral service for Tito Vilanova will be held at Barcelona Cathedral #Ti…"
459763197768003584,2202568770,Sensei,9,75,Bangkok,Fri Apr 25 18:37:42 +0000 2014,Mantan pelatih Barcelona Tito Vilanova meninggal dunia menyusul perjuangannya melawan kanker yang memaksanya b... http://t.co/s1HqY8TNjr
459763197948755968,1262557183,My name is Laura♥.,300,98,Caracas,Fri Apr 25 18:37:43 +0000 2014,RT @visionnoventa: #LigaBBVA El Barcelona no soltará a una estrella http://t.co/AUqfwXqcnE  | http://t.co/SaFpdSGltP
459763198166433792,97604206,bones,156,196,Pacific Time (US & Canada),Fri Apr 25 18:37:43 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763197487366145,758911178,Daaaviid °.° ,312,315,,Fri Apr 25 18:37:42 +0000 2014,"RT @robles_che: ""@M0tivacionesF: La Carta completa que le escribió Tito Vilanova al Barcelona. #HastaSiempreTito http://t.co/4ZFNzpRWeB"""
459763199290920960,1024593566,☆Jesus Rodriguez☆™,121,71,,Fri Apr 25 18:37:43 +0000 2014,RT @visionnoventa: #LigaBBVA El Barcelona no soltará a una estrella http://t.co/AUqfwXqcnE  | http://t.co/SaFpdSGltP
459763199823589377,252254132,Francesc Ramiro,915,1105,,Fri Apr 25 18:37:43 +0000 2014,http://t.co/JCjA2n4ogF Grande Abidal
459763199705763840,167088335,daniel gonzalez,25,128,,Fri Apr 25 18:37:43 +0000 2014,RT @InesSainzG: The FC Barcelona is in immense mourning. Tito Vilanova has died at the age of 45. May he rest in peace http://t.co/yHo6AdU6…
459763199957827585,244621856,Oscar Andres Machado,409,516,Central Time (US & Canada),Fri Apr 25 18:37:43 +0000 2014,RT @FCBarcelona_es: Luto inmenso en la familia del FC Barcelona: nos ha dejado Tito Vilanova a la edad de 45 años. Descanse en paz
459763199886512128,293371923,Damo Sexton,241,561,,Fri Apr 25 18:37:43 +0000 2014,RT @FCBarcelona: The FC Barcelona is in immense mourning. Tito Vilanova has died at the age of 45. May he rest in peace
459763200863391744,2204336498,Follow yuk !!,749,16,Bangkok,Fri Apr 25 18:37:43 +0000 2014,"Mantan Pelatih Barcelona, Tito Vilanova Meninggal Dunia http://t.co/roDkvmSOXi"
